# Mappings were deduced from the Music Gaiji Dictionary for OS 8's
# Kotoeri input method.  Japanese names were extracted (and are given
# verbatim between square brackets), as were the Shift JIS character
# values.  The corresponding Unicode characters were generally
# selected to be as close a match as reasonably possible, using the
# bitmap font images provided by Enfour at
# http://www.enfour.co.jp/media/music/MusicBitmap.html as a guideline
# together with the character names extracted, as the font image
# appears to list characters in order when compared with the extracted
# names.

# Note that these mappings are not official (I have not used the
# official standard as a reference); although it is unlikely, given
# the inability to conclusively compare against a commercial CD-Text
# or MD encoding, it is possible that some of these mappings are not
# valid.  The JIS 0208X:1994 standard is assumed to hold for all
# characters outside of the 0xF640-0x???? block, even though there is
# no direct evidence for this.  Furthermore, due to the presence of
# identical character names for some characters, it is possible that
# certain characters may be misidentified (this is particularly true
# of Latin characters).

# Given the application of this encoding to strictly double-byte
# scenarios (e.g. as provided for in CD-Text), it seems plausible that
# no single-byte characters are valid, although this cannot be shown
# conclusively (this would, however, explain the presence of
# half-width Latin and Katakana characters that would otherwise be
# encoded using single-bytes).  We provide the standard single-byte
# translations of Shift JIS in any case, and implementers should be
# prepared to accept double-byte versions of the single-byte
# characters as padded with a preceding null byte in case this
# assumption proves false.  Round-tripping against this encoding
# should probably avoid encoding such values, and prefer the
# half-width variations in the 0xF640-0x???? block.

# Several rough blocks may be identified in the character set, as
# follows:

# The block from 0xF640 to 0xF6A0 very closely mirrors the ISO 8859-1
# character set (with a few exceptions), with characters that appear
# to be full-width.  Given the lack of similar characters elsewhere in
# these private-use mappings, and the presence of a complete
# half-width set elsewhere, it is assumed that these characters are
# meant to be full-width characters to match the full-width ASCII
# character set normally mapped from 0x00A0 to 0x00FF in standard
# Shift JIS.

# 0xF64B and 0xF65B were selected to be the LEFT-POINTING DOUBLE ANGLE
# QUOTATION MARK and RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
# respectively, rather than 0x226A MUCH LESS-THAN and 0x226B MUCH
# GREATER-THAN, which would be supported by the Japanese names; this
# was done given the close parallels of the sequence with ISO 8859-1,
# which encodes the former rather than the latter.

# We additionally add a mapping for 0x0909 to 0x0009 to correctly map
# the TAB character used by CD-Text (which uses 0x0909 instead of
# 0x0009 for double-byte character sets)

# DASH SYMBOL or ANGER SYMBOL?

# The first column contains the double-byte value in MS-JIS, the
# second contains a sequence of characters (of the form
# 0x####[+####...]) which we consider to be the mapping into Unicode.

# Some of the characters include 0xE01EE VARIATION SELECTOR-255 or
# 0xE01EF VARIATION SELECTOR-256 as part of the Unicode character
# mapping (usually to denote the opposite width of that usually
# assumed to hold, such as half-width Hiragana, or full-width ISO
# 8859-1 characters).  Although any character sequence including this
# character is necessarily invalid Unicode, the behavior of these
# characters (unlike other modifier characters) is default ignorable,
# and the relative unlikelihood of their use in approved variation
# sequences means that they are reasonably safe for use privately for
# round-trip purposes and, while, in compliant Unicode
# implementations, they will be ignored for display and sorting
# purposes.

# If Unicode-compliant round-tripping is desired, these sequences may
# be instead replaced with a character in the Private-Use Area.  It is
# suggested that the characters be mapped according to the following
# algorithm which is compatible with Microsoft's handling of EUDC
# characters (SAP and ICU support this same mapping):

# F040-F07E -> E000-E03E
# F080-F0FC -> E03F-E0BB
# F140-F17E -> E0BC-E0FA
# F180-F1FC -> E0FB-E177
# ...
# F940-F97E -> E69C-E6DA
# F980-F9FC -> E6DB-E757

# If correctness is desired without round-trip capabilities, the
# variation selector may alternately be left off.

# Despite the attempt to not map to the Private-Use Area, several
# characters have no readily identifiable Unicode counterpart.
# Specifically:

# 0xF75A  MINOR CHORD [まいなーこーど]
# 0xF75B  MAJOR CHORD [めじゃーこーど]
# 0xF75C  SUSPENDED CHORD [さすこーど]
# 0xF75D  AUGMENTED CHORD [おーぐめんと]
# 0xF75E  DIMINISHED CHORD [でぃみにっしゅ]
# 0xF75F  ADDED TONE CHORD [あどこーど]
# 0xF762  TERA MARK [てらまーく]
# 0xF7A8  COPY [こぴー]
# 0xF7A9  KEEP [きーぷ]
# 0xF7AA  MASTER [ますたー]
# 0xF7C6  TEAR [なみだ]
# 0xF7CF  SEA [うみ]
# 0xF7D0  MOUNTAIN [やま]

# We have chosen to map these directly to the Private-Use Area
# according to the Shift-JIS mapping discussed above.

0x0909  0x0009        # HORIZONTAL TABULATION
0xF640  0x00A0+E01EF  # NO-BREAK SPACE [むかいぎょうすぺーす]
0xF641  0x00A1+E01EF  # INVERTED EXCLAMATION MARK [ぎゃくかんたんふ]
0xF642  0x00A2+E01EF  # CENT SIGN [せんと]
0xF643  0x00A3+E01EF  # POUND SIGN [ぽんど]
0xF644  0x00A4+E01EF  # CURRENCY SIGN [つうかきごう]
0xF645  0x00A5+E01EF  # YEN SIGN [えんきごう]
0xF646  0x00A6+E01EF  # BROKEN BAR [はだんせん]
0xF647  0x00A7+E01EF  # SECTION SIGN [せつきごう]
0xF648  0x266A+E01EF  # EIGHTH NOTE [たんおんぷ]
0xF649  0x00A9+E01EF  # COPYRIGHT SIGN [まるしー]
0xF64A  0x00AA+E01EF  # FEMININE ORDINAL INDICATOR [じょせいじょすう]
0xF64B  0x00AB+E01EF  # LEFT-POINTING DOUBLE ANGLE QUOTATION MARK [ひじょうにちいさい]
0xF64C  0x00AC+E01EF  # NOT SIGN [ひていきごう]
0xF64D  0x2117+E01EF  # SOUND RECORDING COPYRIGHT [まるぴー]
0xF64E  0x00AE+E01EF  # REGISTERED SIGN [まるあーる]
0xF64F  0x00AF+E01EF  # MACRON [まくろん]
0xF650  0x00B0+E01EF  # DEGREE SIGN [どすう]
0xF651  0x00B1+E01EF  # PLUS-MINUS SIGN [ぷらすまいなす]
0xF652  0x00B2+E01EF  # SUPERSCRIPT TWO [にじょう]
0xF653  0x00B3+E01EF  # SUPERSCRIPT THREE [さんじょう]
0xF654  0x00B4+E01EF  # ACUTE ACCENT [あきゅーと]
0xF655  0x00B5+E01EF  # MICRO SIGN [まいくろ]
0xF656  0x00B6+E01EF  # PILCROW SIGN [だんらく]
0xF657  0x00B7+E01EF  # MIDDLE DOT [ちゅうてん]
0xF658  0x2020+E01EF  # DAGGER [だがー]
0xF659  0x00B9+E01EF  # SUPERSCRIPT ONE [いちじょう]
0xF65A  0x00BA+E01EF  # MASCULINE ORDINAL INDICATOR [だんせいじょすう]
0xF65B  0x00BB+E01EF  # RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK [ひじょうにおおきい]
0xF65C  0x00BC+E01EF  # VULGAR FRACTION ONE QUARTER [よんぶんのいち]
0xF65D  0x00BD+E01EF  # VULGAR FRACTION ONE HALF [にぶんのいち]
0xF65E  0x00BE+E01EF  # VULGAR FRACTION THREE QUARTERS [よんぶんのさん]
0xF65F  0x00BF+E01EF  # INVERTED QUESTION MARK [ぎゃくぎもんふ]
0xF660  0x00C0+E01EF  # LATIN CAPITAL LETTER A WITH GRAVE [ぐれーぶえー]
0xF661  0x00C1+E01EF  # LATIN CAPITAL LETTER A WITH ACUTE [あきゅーとえー]
0xF662  0x00C2+E01EF  # LATIN CAPITAL LETTER A WITH CIRCUMFLEX [さーかむふれくすえー]
0xF663  0x00C3+E01EF  # LATIN CAPITAL LETTER A WITH TILDE [ちるどえー]
0xF664  0x00C4+E01EF  # LATIN CAPITAL LETTER A WITH DIAERESIS [えーうむらうと]
0xF665  0x00C5+E01EF  # LATIN CAPITAL LETTER A WITH RING ABOVE [りんぐえー]
0xF666  0x00C6+E01EF  # LATIN CAPITAL LETTER AE [にじゅうぼいんえーいー]
0xF667  0x00C7+E01EF  # LATIN CAPITAL LETTER C WITH CEDILLA [せでぃらしー]
0xF668  0x00C8+E01EF  # LATIN CAPITAL LETTER E WITH GRAVE [ぐれーぶいー]
0xF669  0x00C9+E01EF  # LATIN CAPITAL LETTER E WITH ACUTE [あきゅーといー]
0xF66A  0x00CA+E01EF  # LATIN CAPITAL LETTER E WITH CIRCUMFLEX [さーかむふれくすいー]
0xF66B  0x00CB+E01EF  # LATIN CAPITAL LETTER E WITH DIAERESIS [だいえれしすいー]
0xF66C  0x00CC+E01EF  # LATIN CAPITAL LETTER I WITH GRAVE [ぐれーぶあい]
0xF66D  0x00CD+E01EF  # LATIN CAPITAL LETTER I WITH ACUTE [あきゅーとあい]
0xF66E  0x00CE+E01EF  # LATIN CAPITAL LETTER I WITH CIRCUMFLEX [さーかむふれくすあい]
0xF66F  0x00CF+E01EF  # LATIN CAPITAL LETTER I WITH DIAERESIS [だいえれしすあい]
0xF670  0x00D0+E01EF  # LATIN CAPITAL LETTER ETH [ぼうつきでー]
0xF671  0x00D1+E01EF  # LATIN CAPITAL LETTER N WITH TILDE [ちるどえぬ]
0xF672  0x00D2+E01EF  # LATIN CAPITAL LETTER O WITH GRAVE [ぐれーぶおー]
0xF673  0x00D3+E01EF  # LATIN CAPITAL LETTER O WITH ACUTE [あきゅーとおー]
0xF674  0x00D4+E01EF  # LATIN CAPITAL LETTER O WITH CIRCUMFLEX [さーかむふれくすおー]
0xF675  0x00D5+E01EF  # LATIN CAPITAL LETTER O WITH TILDE [ちるどおー]
0xF676  0x00D6+E01EF  # LATIN CAPITAL LETTER O WITH DIAERESIS [おーうむらうと]
0xF677  0x00D7+E01EF  # MULTIPLICATION SIGN [かけざん]
0xF678  0x00D8+E01EF  # LATIN CAPITAL LETTER O WITH STROKE [しゃせんおー]
0xF679  0x00D9+E01EF  # LATIN CAPITAL LETTER U WITH GRAVE [ぐれーぶゆー]
0xF67A  0x00DA+E01EF  # LATIN CAPITAL LETTER U WITH ACUTE [あきゅーとゆー]
0xF67B  0x00DB+E01EF  # LATIN CAPITAL LETTER U WITH CIRCUMFLEX [さーかむふれくすゆー]
0xF67C  0x00DC+E01EF  # LATIN CAPITAL LETTER U WITH DIAERESIS [ゆーうむらうと]
0xF67D  0x00DD+E01EF  # LATIN CAPITAL LETTER Y WITH ACUTE [あきゅーとわい]
0xF67E  0x00DE+E01EF  # LATIN CAPITAL LETTER THORN [あいすらんどそーん]
0xF680  0x00DF+E01EF  # LATIN SMALL LETTER SHARP S [どいつえすつえっと]
0xF681  0x00E0+E01EF  # LATIN SMALL LETTER A WITH GRAVE [ぐれーぶえー]
0xF682  0x00E1+E01EF  # LATIN SMALL LETTER A WITH ACUTE [あきゅーとえー]
0xF683  0x00E2+E01EF  # LATIN SMALL LETTER A WITH CIRCUMFLEX [さーかむふれくすえー]
0xF684  0x00E3+E01EF  # LATIN SMALL LETTER A WITH TILDE [ちるどえー]
0xF685  0x00E4+E01EF  # LATIN SMALL LETTER A WITH DIAERESIS [えーうむらうと]
0xF686  0x00E5+E01EF  # LATIN SMALL LETTER A WITH RING ABOVE [りんぐえー]
0xF687  0x00E6+E01EF  # LATIN SMALL LETTER AE [にじゅうぼいんえーいー]
0xF688  0x00E7+E01EF  # LATIN SMALL LETTER C WITH CEDILLA [せでぃらしー]
0xF689  0x00E8+E01EF  # LATIN SMALL LETTER E WITH GRAVE [ぐれーぶいー]
0xF68A  0x00E9+E01EF  # LATIN SMALL LETTER E WITH ACUTE [あきゅーといー]
0xF68B  0x00EA+E01EF  # LATIN SMALL LETTER E WITH CIRCUMFLEX [さーかむふれくすいー]
0xF68C  0x00EB+E01EF  # LATIN SMALL LETTER E WITH DIAERESIS [だいえれしすいー]
0xF68D  0x00EC+E01EF  # LATIN SMALL LETTER I WITH GRAVE [ぐれーぶあい]
